name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Seattle, WA",2025-01-01,45.6,38.5,41.3,45.6,35.4,40.2,36.9,84.4,0.007,100,12.5,rain,0,0,12.5,6.7,120.1,1016.9,64.3,9.6,27.1,2.3,2,10,2025-01-01T07:57:41,2025-01-01T16:28:56,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
"Seattle, WA",2025-01-02,46.1,38.3,42.2,45.1,35.4,41,37.4,83.3,0.019,100,12.5,rain,0,0,12.8,7.2,127.8,1017.8,84.5,9.3,15.5,1.3,1,10,2025-01-02T07:57:37,2025-01-02T16:29:56,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
"Seattle, WA",2025-01-03,46.1,39.4,43.2,46,37.1,41.5,40.4,89.8,0.295,100,33.33,rain,0,0,23,8.5,68.7,1009.2,81.8,8,11.3,0.9,1,10,2025-01-03T07:57:31,2025-01-03T16:30:58,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,F9061,KRNT"
"Seattle, WA",2025-01-04,46.3,38.1,43.4,46.3,35.8,41.8,40.9,91.1,0.082,100,41.67,rain,0,0,22.1,10.2,133.1,1015.3,98.9,8.5,11.3,1,1,10,2025-01-04T07:57:21,2025-01-04T16:32:03,0.17,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,F9061,KRNT"
"Seattle, WA",2025-01-05,50.8,45,48.1,50.8,42,47.2,46.1,92.9,0.014,100,12.5,rain,0,0,23,7.2,160.3,1022.8,99.7,6.5,12.5,0.9,1,10,2025-01-05T07:57:09,2025-01-05T16:33:09,0.21,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,F9061,KRNT"
"Seattle, WA",2025-01-06,47.7,42.2,44.5,45.8,38.7,42.4,40.9,87.1,0,0,0,rain,0,0,15.4,9.2,354.9,1031.8,99.3,8.3,17,1.6,1,10,2025-01-06T07:56:54,2025-01-06T16:34:17,0.25,Overcast,Cloudy skies throughout the day.,cloudy,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,F9061,KRNT"
"Seattle, WA",2025-01-07,45.2,38.9,42,43.9,36.6,40.3,37.7,84.6,0,0,0,,0,0,14.8,8.5,130.1,1032,87.9,8.4,22.3,1.9,1,10,2025-01-07T07:56:37,2025-01-07T16:35:27,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,F9061,KRNT"
"Seattle, WA",2025-01-08,50.3,42.2,46,50.3,38.2,44.4,41.1,83.3,0.029,100,16.67,rain,0,0,13.6,8.1,349,1032.5,85,9.8,42.5,3.7,4,10,2025-01-08T07:56:16,2025-01-08T16:36:39,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
"Seattle, WA",2025-01-09,50.6,41.4,45.3,50.6,40.7,44.3,41,84.8,0,0,0,,0,0,14.5,8.3,59.8,1029.9,69.3,7.6,60.8,5.3,3,10,2025-01-09T07:55:53,2025-01-09T16:37:52,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
"Seattle, WA",2025-01-10,49.8,42.7,46.1,49.8,38.3,43.6,41.9,85.5,0.183,100,16.67,rain,0,0,21.7,11.8,139,1024,85.2,8.4,17.8,1.6,2,10,2025-01-10T07:55:27,2025-01-10T16:39:08,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,F9061,KRNT"
"Seattle, WA",2025-01-11,46.9,37.3,42.3,46.9,34.6,40.5,38.2,85.6,0,0,0,rain,0,0,12.1,7.3,144.9,1033.3,56.4,9.4,50.5,4.3,3,10,2025-01-11T07:54:58,2025-01-11T16:40:24,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
"Seattle, WA",2025-01-12,44,34.5,39,44,34.5,38.8,36.3,90.2,0.001,100,4.17,rain,0,0,15.9,4.7,51.6,1033.5,78.6,7.6,25.1,2.2,2,10,2025-01-12T07:54:26,2025-01-12T16:41:43,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
"Seattle, WA",2025-01-13,42.6,33,37.3,42.2,26.7,35.8,34.3,88.9,0,0,0,rain,0,0,8.5,7.1,113.3,1035.6,79.3,7.2,30.8,2.7,2,10,2025-01-13T07:53:52,2025-01-13T16:43:02,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
